,job_details,benefits,full_desc,hiring_ins
282,"Job details
Salary
$55,000 - $65,000 a year
Job Type
Full-time","Benefits
Pulled from the full job description
401(k)
Health insurance
Paid holidays
Paid sick time
Paid time off
Prescription drug insurance
Professional development assistance
Relocation assistance
Stock options
Tuition reimbursement","Job Description:
The technical and business analyst is responsible for addressing advanced inquiries, requests for enhancements, and supporting B2B clients.
We are looking for an organized, detailed-oriented person that is adept at learning and supporting our world leading B2B software for automating complex 24 hour shift based scheduling of staff. This individual will gain familiarity with specific client instances of our cloud hosted software suite, be able to troubleshoot and dialogue with developers as needed to resolve client requests and inquiries. The selected candidate will develop an intimate knowledge of their assigned client base's usage of this system, via automated usage tracking forms, and maintain relationships with the relevant client POCs.
Under the guidance of senior staff:
map the workflows of the use of our products by customers
create user surveys to assess their difficulties and their readiness to use our products, and the level of training they may need
document result of regularly scheduled calls to clients to discover client feedback about the use of our software products and the level of satisfaction
create presentations of findings of clients to Management and to clients about ideas to optimize product performance and satisfaction including items ranging from custom product enhancements, configurations, to refresher training
participate in the delivery of product enhancements, from requirements gathering and specifications to working with the development team, business stakeholders, and client for a smooth delivery
respond to client inquiries in a timely manner
Qualifications:
Ideally have a background in computer science, economics or have some exposure to computer science and IT
Hold a degree from a reputable university, with a GPA of 3.0 or higher or have commensurate work experience
Proficiency in MS Excel and Visio (or like applications)
Programming knowledge is not required
We are looking for someone that lives within a reasonable distance from the office (an hour or less).
Job Type: Full-time
Pay: $55,000.00 - $65,000.00 per year
Benefits:
401(k)
Health insurance
Paid holidays
Paid sick time
Paid time off
Prescription drug insurance
Professional development assistance
Relocation assistance
Tuition reimbursement
Compensation package:
Bonus pay
Stock options
Experience level:
2 years
Schedule:
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Software troubleshooting: 2 years (Required)
Work Location: In person

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 2 days ago
Posted 4 days ago"
283,"Job details
Salary
$54,922 - $107,099 a year
Job Type
Full-time","Benefits
Pulled from the full job description
Health insurance","Job Description

Job Summary

Designs and implements processes and solutions associated with a wide variety of data sets used for data/text mining, analysis, modeling, and predicting to enable informed business decisions. Gains insight into key business problems and deliverables by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources. Collaborates across departments and with customers to define requirements and understand business problems. Uses advanced Excel, SQL querying, and reporting methods to develop solutions.

Job Duties

Extracts and compiles information from large data sets from various systems to identify and analyze outliers.

Provide quantitative and qualitative data analysis in the reporting of patterns, insights, and trends to decision-makers.

Works with internal, external and enterprise clients as needed to research, develop, and document new standard reports or processes.

Implements and uses analytics software and systems to support department goals.

Tracks trends related to various feeds, with focus on membership, revenue, and commissions.

Identify any deficiencies within the process, strategize and design improvements where possible.

Job Qualifications

REQUIRED EDUCATION:
Associate’s degree or equivalent combination of education and experience

REQUIRED EXPERIENCE:
1-3 years related experience

Proficiency in MS SQL queries and database development.

Proficient in MS Office Suite products, key skills in Excel (VLOOKUPs and pivots).

Intermediate proficiency with complex SQL queries, and stored procedures.

Strong critical thinking and attention to detail.

Ability to effectively communicate with technical and non-technical stakeholders.

Strong time management skills to manage simultaneous projects and tasks to meet internal deadlines

PREFERRED EDUCATION:
Bachelor’s degree or equivalent combination of education and experience

PREFERRED EXPERIENCE:
2 – 4 years related experience

PHYSICAL DEMANDS:
Working environment is generally favorable and lighting and temperature are adequate. Work is generally performed in an office environment in which there is only minimal exposure to unpleasant and/or hazardous working conditions. Must have the ability to sit for long periods. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential function.

To all current Molina employees: If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

Pay Range: $54,922 - $107,099 a year*

Actual compensation may vary from posting based on geographic location, work experience, education and/or skill level.","Hiring Insights
Job activity
Posted 26 days ago"
284,,"Benefits
Pulled from the full job description
Commuter assistance
Health insurance","Job Description:
This position will be responsible for aggregating data from multiple sources for reporting and distribution, while ensuring data integrity and accuracy. The analyst will also create visualizations (dashboards, flowcharts, graphs, etc.); maintain documentation of analytics projects and assist in the interpretation of the results.
Job Responsibilities:
Cleanse and curate sourced data into standardized reporting templates
Create, document, validate and ensure delivery of ad hoc, daily weekly, and monthly reports to internal stakeholders
Coordinating and managing consultants and project management of data engineering projects as they relate to data pipelines
Create, validate and deliver tracking links for the marketing department
Assist in the creation, QA, validation and reporting of A/B and multivariate tests
Collaborate with analytics team members and internal stakeholders to provide visibility / regular updates for requested analytics projects
Requirements:
Degree in Business, Finance, Economics, Computer Science, IT or any equivalent degree
Advanced experience with Excel, Google Sheets including understanding of visualizations, pivot tables, VLOOKUP, and other key functions
Experience with Adobe Analytics, Google Analytics, Tableau, SQL, DataGrip is a plus
Excellent English communication (both oral and written) and reading comprehension
Strong analytical and problem-solving skills, with clear attention to detail
Ability to prioritize and work under tight deadlines
Fast learner, able to master new concepts, theories, ideas, and processes with ease
Pay Range: $36.00 hr
Dow Jones, Making Careers Newsworthy - All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets. Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, email us at IBDtalentresourceteam@dowjones.com. Please put ""Reasonable Accommodation"" in the subject line.
Business Area: INVESTOR'S BUSINESS DAILY
Job Category: Non Employee
Union Status:
Non-Union role
We recognize that attracting the best talent is key to our strategy and success as a company. As a result, we aim for flexibility in structuring competitive compensation offers to ensure we are able to attract the best candidates. The quoted salary range represents our good faith estimate as to what our ideal candidates are likely to expect, and we tailor our offers within the range based on the selected candidate's experience, industry knowledge, location, technical and communication skills, and other factors that may prove relevant during the interview process.
Pay-for-performance is a key element in our strategy to attract, engage, and motivate talented people to do their best work. Similarly to salary, for bonus eligible roles, targets are set based on a variety of factors including competitive market practice.
For benefits eligible roles, in addition to cash compensation, the company provides a comprehensive and highly competitive benefits package, with a variety of physical health, retirement and savings, caregiving, emotional wellbeing, transportation, and other benefits, including ""elective"" benefits employees may select to best fit the needs and personal situations of our diverse workforce.
Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.
This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 37159","Hiring Insights
Job activity
Posted Today"
285,"Job details
Pay Types
Paid weekly
Job Type
Full-time",,"Discovery is at the core of everything we do - whether it’s a great value, incredible style, or building long-lasting partnerships with people around the world. That’s what makes TJX different. You can find it all across our brands: TJ Maxx, Marshalls, HomeGoods, Sierra, and Homesense. Every one of our brands has one thing in common: environments that are always changing. That’s just how we like it. Every day is an opportunity to discover something new about our business, our partnerships, and even about yourself. Come discover what different can mean for you.

Data Analyst, Customer Analytics

The Consumer Insights & Analytics group is looking for an analytics self-starter that will work across TJX's North American brands to develop a deep understanding of our customer’s behavior across our businesses and our competitors. The Data Analyst will use data visualization tools to bring our customers to life, through development of customer profiles and assessment of behavior trends, with the goal of improving our organization’s knowledge of our customers, market growth opportunities and marketing efficiency.

As a proactive business partner, this person will clearly display and articulate impactful insights. This person will partner across the Consumer Insights & Analytics team as an expert in data visualization, identifying ways to bring our robust data sources to life.

The Opportunity: Contribute To The Growth Of Your Career.
Leverage customer data (e.g. customer database, credit transactions, survey data, etc.) to develop dashboards and reporting that answers strategic business questions and measure customer trends to support growing brands of TJX.
Partner across Consumer Insights & Analytics teams to help find opportunities for development and improvement of reporting and data visualization, becoming team expert in the space.
Partner with Analytics team members to run end-to-end analyses of customer behavior to help answer questions from business partners. This includes development of queries, analysis of results and supporting the development of presentations and reports built for our business partners.
Build expertise in navigating internal CRM database.
Establish partnerships across various business functions within TJX.

Who We Are Looking For: You.
Bachelor’s degree in Statistics, Mathematics, Economics, Computer Science, Finance or another quantitative field.
1-3 years of experience working with large datasets to extract and manipulate data using analytical tools.
Experience with Data Visualization (e.g. PowerBi or Tableau) tools required
Experience with SQL, Python or other coding language required.
Excellent analytical and problem-solving skills with a strong attention to detail.
Ability to translate questions from business partners into reporting solutions.
Passion for understanding customer behavior and interest in building a career in the consumer insight and analytics functions.
Curious, self-motivated problem solver.
Ability to prioritize multiple, complex projects in a collaborative fast paced environment.

We care about our culture, but we also prioritize your needs!
Competitive Pay
Hybrid Work Environment
Weekly paychecks
Paid time away
Programs to support environment and corporate responsibility
TAAP – TJX Associate Assistance Programs
Associate Discount
Career Development Opportunity
Be a part of an inclusive team

Benefit programs and eligibility terms vary across our global locations. We encourage you to apply to learn more about how our benefits can make a difference for you.

Full COVID-19 vaccination, including a booster once eligible, is a condition of employment at TJX, subject to reasonable accommodation where required by law.

Discover Different at TJX means opportunity, teamwork, and career growth. That’s why working here is so much more than a job. When you’re a part of our TJX family, you have the full support of a diverse, close-knit group of people that work together to deliver the best value and style in the business. Our inventory is always changing and our approach is continually evolving, which means every day is another chance to Discover Different.

We consider all applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, gender identity and expression, marital or military status. We also provide reasonable accommodations to qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local law.","Hiring Insights
Job activity
Posted 2 days ago"
286,"Job details
Salary
$45 - $47 an hour
Job Type
Full-time
Contract","Benefits
Pulled from the full job description
Dental insurance
Health insurance
Vision insurance","Seeking a Marketing Analytics BI Developer to support marketing analytics department – reviewing marketing data and developing benchmarks / reports on marketing campaign data.
Transitioning existing accounts / data from Google Universal Analytics to GA4 (Google Analytics 4)
Implementing event tracking using Google Tag Manager
Integrating Funnel (marketing reporting tool) into PowerBI.
Required:
Marketing Analytics experience
Experience working with Google Analytics (Google Universal Analytics and/or GA4)
Experience developing reports and dashboards using Google Data Studio
BI reporting / data visualization experience using an enterprise BI tool (PowerBI or Tableau )
Job Types: Full-time, Contract
Pay: $45.00 - $47.00 per hour
Benefits:
Dental insurance
Health insurance
Vision insurance
Experience level:
4 years
Schedule:
8 hour shift
Day shift
Application Question(s):
Do you have Marketing Analytics experience?
Do you have experience working with Google Analytics (Google Universal Analytics and/or GA4)?
Do you have experience developing reports and dashboards using Google Data Studio?
Experience:
PowerBI or Tableau: 1 year (Preferred)
Work Location: Remote

Health insurance","Hiring Insights
Hiring 1 candidate for this role
Job activity
Employer reviewed job 4 days ago
Posted 14 days ago"
287,,"Benefits
Pulled from the full job description
401(k)
401(k) matching
Dental insurance
Health insurance
Unlimited paid time off
Vision insurance","PrizePicks is a sports technology start-up based in Atlanta that delivers innovative technologies focused on becoming the most exciting compliment to your sports viewing experience. We believe establishing a strong culture and investing in our people are paramount to our team continuing to achieve our goals and reach new heights.
We are looking for an inquisitive, highly analytical, detail-oriented Data Analyst experienced in Digital Marketing. This data-centric role is vital for building and maintaining analytics tools and workflows. Candidates that can flex their SQL skill set and analyze essential data to guide decision-making will stand out the most. A strong passion for solving sophisticated fantasy gaming scenarios is a plus. You’re an excellent fit for this role if you’re comfortable managing projects simultaneously, working with a cross-functional team, and informing and influencing stakeholders with data and insights to drive outcomes.
What you’ll Do
Develop data collection, data analysis and business intelligence reporting systems to measure and inform business strategy for the Marketing team
Leverage 1P and 3P proprietary data assets to generate insights through descriptive and exploratory statistics to help identify the highest value audiences for the brand/campaign based on the business drivers and KPIs
Create presentations and written documents with little guidance and present to both technical and non-technical audiences in an effective way, articulating ideas and opinions clearly and efficiently.
Work closely with Paid Media team to develop audience learning agenda to conduct a methodical approach in audience strategy & analyses via modeling and analytic efforts to provide insights and outputs that can help guide audience identification and activation
Collaborate with decision-makers on the Marketing team to understand their goals and proactively identify opportunities to use data to develop new insights and improve business results
Requirements:
3+ years’ of Data / Analytics experience in B2C e-commerce or gaming-type role environment.
1+ year of Digital Marketing experience (Facebook, Snapchat, Google ad buys, etc…)
Experience in both mobile and non-mobile platforms
Advanced knowledge of SQL and experience working with Data Lakes
2+ years’ experience using data visualization tools (Tableau preferred)
Advanced ability to draw insights from analysis supported by data and clearly communicate them to the stakeholders and senior management as required
Intellectual curiosity and solid understanding in data sources and ecosystems with the ability to see from the brand’s business lens
Strong communication skills, both written and oral
Experience with Python or R is a plus
Benefits you’ll receive:
In addition to your competitive salary, medical/dental/vision coverage plans and matching 401(k), we’ll shower you with perks including:
Break room with ping pong, end endless snacks and in-office lunch once a week
Unlimited PTO to encourage a healthy work/life balance
A modern work schedule focused on getting the job done well, not hours clocked
Company and team outings, we encourage a tight-knit workplace
Open office layout promotes collaboration, conversation and teamwork to drive results
Significant opportunity for growth and career development
Applicants must be authorized to work for any employer in the U.S. We are unable to sponsor or takeover sponsorship or an employment Visa at this time.
PrizePicks is an Equal Opportunity Employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.","Hiring Insights
Job activity
Posted 18 days ago"
288,"Job details
Salary
$20 - $25 an hour
Job Type
Full-time
Contract",,"Role: Junior Business Analyst
Duration: 6 months
REMOTE
3 positions
Job Description:
Seeking a smart and highly-motivated individual to work with our Product team.
As a Junior Business Analyst, you will be gathering business requirements and analyzing trends to improve business processes.
Your main responsibilities include:
Business process modeling to identify potential improvements.
Contributing to and driving continuous process improvement initiatives to meet business needs.
Gathering, analyzing, defining and formalizing business requirements and processes into project / system specifications.
Identifying, tracking and communicating progress, milestones, deliverables, risks and issues.
Developing and implementing cost and business savings solutions. Required Skills
Interacting across the teams and with clients on a daily basis to perform technical requirements validations for new and existing development.
Support both business requirements and testing activities.
Job Types: Full-time, Contract
Pay: $20.00 - $25.00 per hour
Schedule:
8 hour shift
Monday to Friday
Education:
Bachelor's (Required)
Work Location: Remote","Hiring Insights
Hiring 6 candidates for this role
Job activity
Employer reviewed job 13 days ago
Posted 30+ days ago"
289,,"Benefits
Pulled from the full job description
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee discount
Health insurance
Life insurance
Paid time off
Vision insurance
Wellness program
Work from home","Business Operations Analyst
We're looking for a Business Operations Analyst to help drive growth and operational improvements at Honor. As a Business Operations Analyst, you will provide data-driven insights and develop reporting tools to inform company-wide growth efforts and support leaders across the Care Team and across the organization achieve our company goals. Responsibilities Gain deep understanding and analyze data related to Honor growth, operations, service quality, and gross margin Generate and communicate data-driven insights effectively to stakeholders across Care, Growth, Product, and Finance teams Develop and maintain automated reporting, dashboards, and visualizations to track growth and monitor health of business and operations Partner with data analysts and data engineers to develop and surface new metrics as needed Define and develop key performance metrics for various Care teams and programs Collaborate with Field Operations leaders to identify gaps and opportunities in existing processes and design new processes and tools Support ad-hoc data requests from Honor leadership and Care team members Assist in development of Looker training for Care team members and provide training as needed About you: This role may be a great fit if you’re an analytical thinker who obsesses about the details. You live and breathe data, but you also know that the numbers don’t always tell the full story. You dive into any challenge that’s thrown your way. To succeed in the role, you’ll need: 2+ years of working experience in a business operations/data analytics role at a high-growth startup, in management/economic consulting, or in a similar, fast-paced environment. B.A./B.S. degree in technical or business fields Advanced skills in working with Google sheets/Excel and BI tools (Looker, Tableau, etc) Experience with SQL and comfort querying data from data warehouses (eg. Redshift, Snowflake, etc.); statistical programming experience is a plus An ability to think strategically and critically with exceptional quantitative analytical skills and strong attention to detail Excellent communication skills with ability to summarize and present key insights to cross-functional stakeholders and leadership Strong execution skills, ability to consistently meet timelines, exceed expectations and operate from a sense of urgency through ambiguity or changing business needs A sincere, collaborative, and empathetic personality characterized by a strong inclination to be part of a team of doers Our range reflects the hiring range for this position. We use national average to determine pay as we are a remote first company. Individual pay is based on a number of factors including qualifications, skills, experience, education, and training. Base pay is just a part of our total rewards program. Honor offers equity and 401K with up to a 4% match. We provide medical, dental and vision coverage including zero cost plans for employees. Short Term Disability, Long Term Disability and Life Insurance are fully employer paid with a voluntary additional Life Insurance option. We offer a generous time off program, mental health benefits, wellness program, and discount program.Hiring Salary Range$100,000—$115,000 USD
Remote

Honor exists to expand the world’s capacity to care.
We’re combining high tech with high-touch to deliver better home care for aging adults, better jobs for Care Professionals, and entirely new offerings to support the aging journey, at scale.
Founded in 2014, and now a Series E funded “Unicorn” valued at over $1B, Honor leads the world’s largest home care network with the most advanced care platform. Our August 2021 acquisition of Home Instead has created a global company that’s revolutionizing how society cares for older adults, their families, and Care Professionals.
The Honor Care Platform combines local care and the most advanced technology to bring the highest quality care to more aging adults.
Grow at Honor as part of a united team where everyone shows up authentically, shares ideas bravely, and solves complex problems!
About the Work:
We're looking for a Business Operations Analyst to help drive growth and operational improvements at Honor. As a Business Operations Analyst, you will provide data-driven insights and develop reporting tools to inform company-wide growth efforts and support leaders across the Care Team and across the organization achieve our company goals.
Responsibilities
Gain deep understanding and analyze data related to Honor growth, operations, service quality, and gross margin
Generate and communicate data-driven insights effectively to stakeholders across Care, Growth, Product, and Finance teams
Develop and maintain automated reporting, dashboards, and visualizations to track growth and monitor health of business and operations
Partner with data analysts and data engineers to develop and surface new metrics as needed
Define and develop key performance metrics for various Care teams and programs
Collaborate with Field Operations leaders to identify gaps and opportunities in existing processes and design new processes and tools
Support ad-hoc data requests from Honor leadership and Care team members
Assist in development of Looker training for Care team members and provide training as needed
About you:
This role may be a great fit if you’re an analytical thinker who obsesses about the details. You live and breathe data, but you also know that the numbers don’t always tell the full story. You dive into any challenge that’s thrown your way.
To succeed in the role, you’ll need:
2+ years of working experience in a business operations/data analytics role at a high-growth startup, in management/economic consulting, or in a similar, fast-paced environment.
B.A./B.S. degree in technical or business fields
Advanced skills in working with Google sheets/Excel and BI tools (Looker, Tableau, etc)
Experience with SQL and comfort querying data from data warehouses (eg. Redshift, Snowflake, etc.); statistical programming experience is a plus
An ability to think strategically and critically with exceptional quantitative analytical skills and strong attention to detail
Excellent communication skills with ability to summarize and present key insights to cross-functional stakeholders and leadership
Strong execution skills, ability to consistently meet timelines, exceed expectations and operate from a sense of urgency through ambiguity or changing business needs
A sincere, collaborative, and empathetic personality characterized by a strong inclination to be part of a team of doers
Our range reflects the hiring range for this position. We use national average to determine pay as we are a remote first company. Individual pay is based on a number of factors including qualifications, skills, experience, education, and training.
Base pay is just a part of our total rewards program. Honor offers equity and 401K with up to a 4% match. We provide medical, dental and vision coverage including zero cost plans for employees. Short Term Disability, Long Term Disability and Life Insurance are fully employer paid with a voluntary additional Life Insurance option. We offer a generous time off program, mental health benefits, wellness program, and discount program.
Hiring Salary Range
$100,000—$115,000 USD
What’s next?
Honor is remote friendly! We're hiring across the U.S., with an entirely virtual interview and onboarding process. Most of our positions are remote/work from home and do not require permanent relocation. As conditions allow, we have office space for in-person collaboration in our San Francisco Bay Area, CA and Austin, TX hubs. If you're looking for a great job that offers you the opportunity to work from home, we'd love to talk to you.
Want to know more about why Honor is a great place to work? Check out our perks!

We value people! These four people-centric values guide the ways we work and decisions we make every day.
This role doesn’t sound quite right? Send this application to a friend who may be a fit and check out our other available roles!
#LI-Remote
Honor is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information, political affiliation or belief.","Hiring Insights
Job activity
Posted 21 days ago"
290,,,"The Research Associate works with Agile Visual Analytics Lab (AVAL) team to coordinate and implement complex, multifaceted social welfare program evaluation and research activities in a coherent and efficient fashion. Responsibilities and activities include:
Coordinating research efforts and assisting with data collection (e.g., facilitating focus groups and interviews), management, preparation for analysis (experience with Alteryx preferred)
Conducting basic data analysis
Supporting the development, preparation, and dissemination of various reporting products (experience with Tableau preferred)
Aiding with other general administration of evaluation and research activities
The Research Associate must operate in a complex technical environment using several software products (e.g., Tableau, Alteryx, R, Stata, ATLAS.ti, Asana, Calendly). The Research Associate must manage day-to-day evaluation and research activities to ensure efficient and effective research operations. The Research Associate must support existing data security and confidentiality procedures. The Research Associate is also responsible for on and off-site evaluation and research support, including; organizing and attending meetings with research partners and stakeholders, collecting/managing data, and supporting the reporting of research and evaluation findings.

Percentage of Time:
100

Shift Start:
8:00 am

Shift End:
5:00 pm

Qualifications for Position

18
Records

Qualifications

Required/Preferred

Demonstrated ability to assess priorities and coordinate workflows across projects to complete tasks in a timely and accurate manner within a high-paced work environment including taking appropriate and immediate action as necessary

Required

Ability to work both independently and collaboratively as member of a research team across cultures and internally within a diverse and dynamic institution

Required

Demonstrated data collection skills & experience (e.g., creating surveys, facilitating focus groups and interviews with a wide-range of stakeholder groups)

Required

Ability to maintain confidentiality at all times and to represent AVAL in a professional and courteous manner

Required

Demonstrated skill in editing for spelling, punctuation, and grammar

Required

Demonstrated written and verbal communication skills to effectively communicate with a wide-range of stakeholder groups

Required

Skill in operating software various packages: Microsoft Office Suite, Asana, Calendly, Stata, SPSS, R, ATLAS.ti

Required

Typing skills to quickly and accurately input data, prepare research materials, and prepare reporting products

Required

Physical requirements include the ability to stand for several hours, reach, grasp, walk, sit, carry, bend, stoop repeatedly, and lift and transport research materials and supplies to research locations or data collection venues

Required

Physical requirements include the ability to stand for several hours, reach, grasp, walk, sit, carry, bend, stoop repeatedly, and lift and transport research materials and supplies to research locations or data collection venues

Required

Working knowledge of utilization-focused evaluation and participatory research

Required

Working knowledge of current research in child welfare, criminal/juvenile justice, education, and other related fields

Required

Demonstrated data analysis skills & experience (e.g., basic quantitative & qualitative analysis)

Required

Demonstrated data management skills & experience (e.g., reviewing data for errors/inconsistencies, formatting and merging data files for analysis)

Required

Demonstrated experience with ETL software (e.g., Alteryx)

Required

Demonstrated experience with data visualization software (e.g., Tableau, Visme)

Required

Spanish-language fluency (reading, writing, and speaking)

Preferred

Ph.D in social work, education, public policy, public health or related social science field or an equivalent combination of education (at least a Bachelor's degree) and substantial research experience

Required

Additional Posting Information

Bargaining Unit:
99-Policy Covered

Application Deadline:
04-30-2023

External Posting Date:","Hiring Insights
Job activity
Posted 11 days ago"
291,,,"Job ID# 10225 – Posted 3/28/2023 – Remote, CA
Position Description
IT Data Analyst works independently to document external data acquisition policies and procedures as well as interface with other business units to define and document data needs and ad-hoc analysis requirements; identify business practice workflow and process issues and concerns; provide leadership and guidance to define system and process requirements that will optimize system performance and technology utilization by system users; and design information systems and technologies that ensure access and transparency. The Informatics Data Analyst will develop, implement, organize, and maintain information and reports to document operational and financial performance; collaborate with the quality team, administrators, etc., to design the ad hoc and other relevant routine reports; monitor the quality programs and make efforts to improve them; compile data from multiple sources and import the data into the relevant database; select appropriate tools and methods to maintain the existing programs that ensures there is appropriate transfer of data and that all the reports are documented well to increase the efficiency; assist with analysis of external data definitions documentation and mapping process; perform a Quality Assurance function for the data integration processes and repository metrics; collaborate with other staff to document data needs and metric definitions; validate data load processes and the quality of the data loaded into data repositories; maintain, store, map and analyze data in compliance with policies and procedures; coordinate with LAN and IT Security teams in order to utilize PGP encryption software and File Transfer Protocols; and use software such as SAS, Access, and Excel to provide data mapping for integration using Business Objects, and SQL.
Skills Required
IT Data Analyst will possess knowledge and experience in basic statistical concepts; identifying the trends, business opportunities, and relevant issues; commonly-used demographics and databases; definitions of fields and how data is entered and processed; data mining/intelligence; statistically-valid analysis and measurement methodologies; packaging data – infographics and other data display techniques, and report design options; data interpretation and validation; Ad Hoc analysis/performance evaluation principles; common demographic data bases; SQL coding and report services; data warehouse design; web-based application design; PC skills (e.g. Microsoft Office, Word, Excel, PowerPoint, SAS, Access and Excel); working independently as well as a leadership role in creating process documentation and interfacing with other team members to obtain this information; detailed-oriented; excellent interpersonal, oral and written communication skills; ability to handle multiple tasks; and problem solving and troubleshooting skills.
Skills Preferred
The IT Analyst will possess knowledge and experience in:
– Solid knowledge in Microsoft Database architecture, including MS SQL Servers, Azure SQL, Azure Managed Instances.
– Work experiences in Database administration, ensuring data availability, data quality, and security.
– Extensive experience in database development, include design and developing databases, views, function, and stored procedures.
– Innovative – employ creativity to devise effective and efficient solutions
– Demonstrated critical thinking – including abilities in analysis and problem solving
– Experienced in “Systems Thinking” – the ability to break problems into manageable pieces, and to see how the pieces interact with one another and can be assembled into an integrated, functioning, “whole” system
– Excellent verbal and written communication capabilities
– Effective team player with strong emotional intelligence – self-awareness, confidence, ability to manage conflict, and empathy
– Passion for technology, with an ability to understand and assess new technologies, and their potential applicability to business needs in an efficient, effective manner
Experience Required
– Minimum of two (2) years of experience in processing, management, and retrieval of information.
Experience Preferred
Four (4) years of database development experience
Two (2) years developing data integration processes including secure Web services and APIs
Two (2) years developing Microsoft Power Automate or Logic Apps or PowerApps
Three (3) years of Database development experience with Microsoft SQL Server, Stored Procedures using T-SQL.
Two (2) years developing data reports using Microsoft SSRS, PowerBI, Power BI Report Builder.
Two (2) years of DevOps experience.
Education Required
This classification requires the possession of a bachelor’s degree in an IT-related or Engineering field. Additional qualifying experience may be substituted for the required education on a year-for-year basis.
Additional Information
Remote\Telework position

Apply Now
Please send your resume and any additional information to our recruitment team at recruitment@nexlogica.com","Hiring Insights
Job activity
Posted 13 days ago"
